Experiment	bias spectroscopy	
Date	26.08.2016 14:33:05	
User		
X (m)	59.9268E-9	
Y (m)	127.448E-9	
Z (m)	-81.4676E-9	
Z offset (m)	0E+0	
Settling time (s)	10E-3	
Integration time (s)	15E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	LIX 1 omega (A)	Current [bwd] (A)	LIX 1 omega [bwd] (A)
-26.0000E-3	-30.5792E-12	7.08194E-12	-30.5847E-12	7.11790E-12
-24.0000E-3	-27.5779E-12	7.01230E-12	-27.5344E-12	6.94264E-12
-22.0000E-3	-24.5892E-12	6.89948E-12	-24.6529E-12	6.86492E-12
-20.0000E-3	-21.6751E-12	6.79062E-12	-21.7253E-12	6.73469E-12
-18.0000E-3	-18.8117E-12	6.67902E-12	-18.9028E-12	6.64271E-12
-16.0000E-3	-16.0170E-12	6.52578E-12	-16.0310E-12	6.55881E-12
-14.0000E-3	-13.2435E-12	6.51017E-12	-13.2631E-12	6.44451E-12
-12.0000E-3	-10.5372E-12	6.32619E-12	-10.5504E-12	6.46730E-12
-10.0000E-3	-7.76050E-12	6.34169E-12	-7.72589E-12	6.39188E-12
-8.00000E-3	-5.11736E-12	6.32453E-12	-5.07237E-12	6.40621E-12
-6.00000E-3	-2.39860E-12	6.32099E-12	-2.26729E-12	6.41364E-12
-4.00000E-3	376.292E-15	6.44986E-12	424.215E-15	6.41141E-12
-2.00000E-3	3.14469E-12	6.49703E-12	3.18188E-12	6.50212E-12
0.00000E+0	5.95600E-12	6.66442E-12	5.99894E-12	6.61605E-12
2.00000E-3	8.89498E-12	6.83370E-12	8.91714E-12	6.92392E-12
4.00000E-3	11.8727E-12	7.13786E-12	11.9380E-12	7.09218E-12
6.00000E-3	14.9575E-12	7.36531E-12	15.0127E-12	7.40692E-12
8.00000E-3	18.1477E-12	7.68610E-12	18.1948E-12	7.66063E-12
10.0000E-3	21.5223E-12	8.04287E-12	21.5567E-12	8.00120E-12
12.0000E-3	24.9007E-12	8.25607E-12	24.9851E-12	8.30824E-12
14.0000E-3	28.4088E-12	8.38110E-12	28.5296E-12	8.45236E-12
16.0000E-3	31.9942E-12	8.55892E-12	32.1048E-12	8.59208E-12
18.0000E-3	35.7106E-12	8.70152E-12	35.8193E-12	8.79145E-12
20.0000E-3	39.3638E-12	8.87013E-12	39.4537E-12	8.87191E-12
22.0000E-3	43.0701E-12	8.77955E-12	43.2248E-12	8.79091E-12
24.0000E-3	46.7532E-12	8.76068E-12	46.9059E-12	8.75514E-12
26.0000E-3	50.4513E-12	8.63341E-12	50.6969E-12	8.70607E-12
28.0000E-3	54.1574E-12	8.62911E-12	54.3495E-12	8.58759E-12
30.0000E-3	57.7498E-12	8.51609E-12	57.9700E-12	8.56063E-12
32.0000E-3	61.3012E-12	8.42899E-12	61.5483E-12	8.40272E-12
34.0000E-3	64.8973E-12	8.36298E-12	65.1086E-12	8.33857E-12
36.0000E-3	68.4971E-12	8.19979E-12	68.5678E-12	8.19181E-12
38.0000E-3	71.9324E-12	8.05098E-12	72.1056E-12	8.09108E-12
40.0000E-3	75.3725E-12	7.89530E-12	75.4769E-12	7.91947E-12
42.0000E-3	78.6699E-12	7.76732E-12	78.8198E-12	7.75603E-12
44.0000E-3	81.9046E-12	7.57110E-12	82.0689E-12	7.60356E-12
46.0000E-3	85.0455E-12	7.48260E-12	85.2668E-12	7.42298E-12
48.0000E-3	88.1966E-12	7.25913E-12	88.3600E-12	7.28372E-12
50.0000E-3	91.1965E-12	7.01468E-12	91.4343E-12	7.08907E-12
52.0000E-3	94.2347E-12	6.86154E-12	94.4670E-12	6.92930E-12
54.0000E-3	97.1267E-12	6.84783E-12	97.4464E-12	6.81126E-12
56.0000E-3	100.133E-12	6.74703E-12	100.352E-12	6.81500E-12
58.0000E-3	103.045E-12	6.81990E-12	103.345E-12	6.72881E-12
60.0000E-3	105.884E-12	6.76730E-12	106.156E-12	6.78978E-12
62.0000E-3	108.793E-12	6.69502E-12	109.119E-12	6.81109E-12
64.0000E-3	111.608E-12	6.75056E-12	111.851E-12	6.65215E-12
66.0000E-3	114.465E-12	6.64767E-12	114.786E-12	6.71603E-12
68.0000E-3	117.282E-12	6.62534E-12	117.494E-12	6.73810E-12
70.0000E-3	120.184E-12	6.65968E-12	120.476E-12	6.69811E-12
72.0000E-3	122.976E-12	6.62391E-12	123.189E-12	6.57238E-12
74.0000E-3	125.886E-12	6.61479E-12	126.076E-12	6.57824E-12
76.0000E-3	128.672E-12	6.61582E-12	128.902E-12	6.66270E-12
78.0000E-3	131.577E-12	6.68419E-12	131.762E-12	6.68677E-12
80.0000E-3	134.271E-12	6.68793E-12	134.529E-12	6.70230E-12
82.0000E-3	137.141E-12	6.79421E-12	137.417E-12	6.67705E-12
84.0000E-3	139.955E-12	6.77990E-12	140.161E-12	6.78376E-12
86.0000E-3	142.959E-12	6.75071E-12	143.133E-12	6.84956E-12
88.0000E-3	145.779E-12	6.96255E-12	146.021E-12	7.00298E-12
90.0000E-3	148.939E-12	7.04506E-12	149.059E-12	7.01302E-12
92.0000E-3	151.954E-12	7.30899E-12	152.138E-12	7.32286E-12
94.0000E-3	155.172E-12	7.46896E-12	155.420E-12	7.54116E-12
96.0000E-3	158.310E-12	7.65309E-12	158.602E-12	7.71717E-12
98.0000E-3	161.673E-12	7.89848E-12	162.002E-12	7.95993E-12
100.000E-3	165.009E-12	8.12710E-12	165.303E-12	8.21963E-12
102.000E-3	168.571E-12	8.38841E-12	168.946E-12	8.41351E-12
104.000E-3	172.187E-12	8.69105E-12	172.500E-12	8.68863E-12
106.000E-3	176.012E-12	9.06927E-12	176.313E-12	8.96241E-12
108.000E-3	179.935E-12	9.26917E-12	180.137E-12	9.26885E-12
110.000E-3	183.917E-12	9.64566E-12	184.241E-12	9.63465E-12
112.000E-3	188.088E-12	9.87168E-12	188.459E-12	9.90021E-12
114.000E-3	192.413E-12	10.2215E-12	192.784E-12	10.2008E-12
116.000E-3	196.691E-12	10.5353E-12	197.069E-12	10.4911E-12
118.000E-3	201.352E-12	10.8209E-12	201.668E-12	10.9137E-12
120.000E-3	205.833E-12	11.1218E-12	206.064E-12	11.0709E-12
122.000E-3	210.661E-12	11.3271E-12	210.901E-12	11.2500E-12
124.000E-3	215.466E-12	11.6153E-12	215.584E-12	11.6830E-12
126.000E-3	220.677E-12	11.9073E-12	220.913E-12	11.8534E-12
128.000E-3	225.774E-12	12.1181E-12	225.748E-12	12.1986E-12
130.000E-3	231.000E-12	12.4117E-12	231.261E-12	12.4375E-12
132.000E-3	236.094E-12	12.5339E-12	236.220E-12	12.5541E-12
134.000E-3	241.251E-12	12.6043E-12	241.726E-12	12.6435E-12
136.000E-3	246.480E-12	12.5510E-12	246.812E-12	12.5646E-12
138.000E-3	251.646E-12	12.3739E-12	252.285E-12	12.4084E-12
